"Reference","Value","Footprint","QUANTITY"
"C1","22uF 16V","Capacitor_SMD:C_1206_3216Metric","1"
"C2,C6","10uF","Capacitor_SMD:C_0805_2012Metric","2"
"C3-C5,C7,C11-C16,C42","100nF","Capacitor_SMD:C_0805_2012Metric","11"
"C41","47nF","Capacitor_SMD:C_0805_2012Metric","1"
"D1","SS34","Diode_SMD:D_SMA","1"
"D11-D16,D41","BAT54S","Package_TO_SOT_SMD:SOT-23","7"
"F1","500mA hold","Fuse:Fuse_1206_3216Metric","1"
"F2","100mA T 250V","Fuse:Fuse_Littelfuse_395Series","1"
"FB1","600R@100MHz","Inductor_SMD:L_0805_2012Metric","1"
"J1","5V IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1"
"J2","USB-C 5V (power only)","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","1"
"J3","DevKit J1 (3V3..GND)","Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical","1"
"J4","DevKit J3 (GND..GND)","Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical","1"
"J5","230V AC (L,N)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1"
"J6","I2C OLED","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"J11","CT1","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1"
"J12","CT2","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1"
"J13","CT3","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1"
"J14","CT4","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1"
"J15","CT5","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1"
"J16","CT6","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1"
"JP11-JP16","mA|V","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","6"
"R1,R2","5.1k","Resistor_SMD:R_0805_2012Metric","2"
"R3","12k 1%","Resistor_SMD:R_0805_2012Metric","1"
"R4","10k 1%","Resistor_SMD:R_0805_2012Metric","1"
"R5","47R","Resistor_SMD:R_0805_2012Metric","1"
"R6,R48","1k","Resistor_SMD:R_0805_2012Metric","2"
"R41-R44","220k 1% 1206","Resistor_SMD:R_1206_3216Metric","4"
"R47","2k7 1%","Resistor_SMD:R_0805_2012Metric","1"
"R111,R121,R131,R141,R151,R161","22R 0.1%","Resistor_SMD:R_0805_2012Metric","6"
"R112,R122,R132,R142,R152,R162","1k 1%","Resistor_SMD:R_0805_2012Metric","6"
"R113,R123,R133,R143,R153,R163","1k8 1%","Resistor_SMD:R_0805_2012Metric","6"
"RV1","275VAC 7mm","Varistor:RV_Disc_D7mm_W4.2mm_P5mm","1"
"T1","ZMPT101B","ct6:ZMPT101B","1"
"U1","MCP6002-E/SN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1"
