Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF 16V","C_1206_3216Metric",27.000000,38.000000,90.000000,top
"C2","10uF","C_0805_2012Metric",70.000000,61.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",70.000000,58.000000,0.000000,top
"C4","100nF","C_0805_2012Metric",51.000000,65.000000,90.000000,top
"C5","100nF","C_0805_2012Metric",56.000000,75.000000,0.000000,top
"C6","10uF","C_0805_2012Metric",56.000000,63.000000,0.000000,top
"C7","100nF","C_0805_2012Metric",56.000000,60.000000,0.000000,top
"C11","100nF","C_0805_2012Metric",9.500000,20.000000,90.000000,top
"C12","100nF","C_0805_2012Metric",23.500000,20.000000,90.000000,top
"C13","100nF","C_0805_2012Metric",37.500000,20.000000,90.000000,top
"C14","100nF","C_0805_2012Metric",51.500000,20.000000,90.000000,top
"C15","100nF","C_0805_2012Metric",65.500000,20.000000,90.000000,top
"C16","100nF","C_0805_2012Metric",79.500000,20.000000,90.000000,top
"C41","47nF","C_0805_2012Metric",50.000000,78.000000,90.000000,top
"C42","100nF","C_0805_2012Metric",65.000000,70.000000,90.000000,top
"D1","SS34","D_SMA",22.000000,38.000000,90.000000,top
"D11","BAT54S","SOT-23",12.500000,19.000000,0.000000,top
"D12","BAT54S","SOT-23",26.500000,19.000000,0.000000,top
"D13","BAT54S","SOT-23",40.500000,19.000000,0.000000,top
"D14","BAT54S","SOT-23",54.500000,19.000000,0.000000,top
"D15","BAT54S","SOT-23",68.500000,19.000000,0.000000,top
"D16","BAT54S","SOT-23",82.500000,19.000000,0.000000,top
"D41","BAT54S","SOT-23",68.500000,70.000000,0.000000,top
"F1","500mA hold","Fuse_1206_3216Metric",17.000000,38.000000,90.000000,top
"F2","100mA T 250V","Fuse_Littelfuse_395Series",9.000000,61.000000,0.000000,top
"FB1","600R@100MHz","L_0805_2012Metric",70.000000,64.000000,0.000000,top
"J1","5V IN","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",6.000000,32.000000,90.000000,top
"J2","USB-C 5V (power only)","USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal",3.500000,46.000000,-90.000000,top
"J3","DevKit J1 (3V3..GND)","PinSocket_1x22_P2.54mm_Vertical",84.000000,85.000000,0.000000,top
"J4","DevKit J3 (GND..GND)","PinSocket_1x22_P2.54mm_Vertical",106.860000,85.000000,0.000000,top
"J5","230V AC (L,N)","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",6.000000,74.000000,90.000000,top
"J6","I2C OLED","PinHeader_1x04_P2.54mm_Vertical",114.000000,24.000000,0.000000,top
"JP11","mA|V","PinHeader_1x03_P2.54mm_Vertical",3.500000,27.000000,0.000000,top
"JP12","mA|V","PinHeader_1x03_P2.54mm_Vertical",17.500000,27.000000,0.000000,top
"JP13","mA|V","PinHeader_1x03_P2.54mm_Vertical",31.500000,27.000000,0.000000,top
"JP14","mA|V","PinHeader_1x03_P2.54mm_Vertical",45.500000,27.000000,0.000000,top
"JP15","mA|V","PinHeader_1x03_P2.54mm_Vertical",59.500000,27.000000,0.000000,top
"JP16","mA|V","PinHeader_1x03_P2.54mm_Vertical",73.500000,27.000000,0.000000,top
"R1","5.1k","R_0805_2012Metric",11.000000,49.000000,90.000000,top
"R2","5.1k","R_0805_2012Metric",11.000000,44.000000,90.000000,top
"R3","12k 1%","R_0805_2012Metric",48.000000,70.000000,90.000000,top
"R4","10k 1%","R_0805_2012Metric",48.000000,65.000000,90.000000,top
"R5","47R","R_0805_2012Metric",62.000000,64.000000,0.000000,top
"R6","1k","R_0805_2012Metric",62.000000,60.000000,0.000000,top
"R41","220k 1% 1206","R_1206_3216Metric",23.000000,65.000000,90.000000,top
"R42","220k 1% 1206","R_1206_3216Metric",23.000000,70.000000,90.000000,top
"R43","220k 1% 1206","R_1206_3216Metric",23.000000,75.000000,90.000000,top
"R44","220k 1% 1206","R_1206_3216Metric",23.000000,80.000000,90.000000,top
"R47","2k7 1%","R_0805_2012Metric",47.000000,78.000000,90.000000,top
"R48","1k","R_0805_2012Metric",62.000000,70.000000,90.000000,top
"R111","22R 0.1%","R_0805_2012Metric",7.000000,26.000000,90.000000,top
"R112","1k 1%","R_0805_2012Metric",9.500000,26.000000,90.000000,top
"R113","1k8 1%","R_0805_2012Metric",12.000000,26.000000,90.000000,top
"R121","22R 0.1%","R_0805_2012Metric",21.000000,26.000000,90.000000,top
"R122","1k 1%","R_0805_2012Metric",23.500000,26.000000,90.000000,top
"R123","1k8 1%","R_0805_2012Metric",26.000000,26.000000,90.000000,top
"R131","22R 0.1%","R_0805_2012Metric",35.000000,26.000000,90.000000,top
"R132","1k 1%","R_0805_2012Metric",37.500000,26.000000,90.000000,top
"R133","1k8 1%","R_0805_2012Metric",40.000000,26.000000,90.000000,top
"R141","22R 0.1%","R_0805_2012Metric",49.000000,26.000000,90.000000,top
"R142","1k 1%","R_0805_2012Metric",51.500000,26.000000,90.000000,top
"R143","1k8 1%","R_0805_2012Metric",54.000000,26.000000,90.000000,top
"R151","22R 0.1%","R_0805_2012Metric",63.000000,26.000000,90.000000,top
"R152","1k 1%","R_0805_2012Metric",65.500000,26.000000,90.000000,top
"R153","1k8 1%","R_0805_2012Metric",68.000000,26.000000,90.000000,top
"R161","22R 0.1%","R_0805_2012Metric",77.000000,26.000000,90.000000,top
"R162","1k 1%","R_0805_2012Metric",79.500000,26.000000,90.000000,top
"R163","1k8 1%","R_0805_2012Metric",82.000000,26.000000,90.000000,top
"RV1","275VAC 7mm","RV_Disc_D7mm_W4.2mm_P5mm",14.000000,71.000000,0.000000,top
"T1","ZMPT101B","ZMPT101B",35.500000,74.000000,0.000000,top
"U1","MCP6002-E/SN","SOIC-8_3.9x4.9mm_P1.27mm",56.000000,70.000000,0.000000,top
